Corridor,HoursBinding_old,AnnCongestionRent_old,MaxAbsShadow_old,HoursBinding_new,AnnCongestionRent_new,MaxAbsShadow_new,Delta_HoursBinding,Delta_AnnCongestionRent
Amprion,91,1098033.7315834535,52.80771361324196,53,314367.4048578509,40.38834021332636,-38,-783666.3267256026
TransnetBW,26,174153.6767248327,27.270277136738805,30,21076.7303945384,7.258458305717369,4,-153076.9463302943
50Hertz,0,-7958.897262723798,0.0,17,79323.980531819,9.58588639159505,17,87282.8777945428
TenneT,33,116020.8536651582,14.219679781725766,12,157351.80970385016,18.78747491724284,-21,41330.95603869196
50Hertz -- Amprion,0,-9594.610783974133,0.0,0,45.94435815618277,0.0,0,9640.555142130315
Amprion -- TenneT,0,29226.308244912707,0.0,0,-42081.58723995345,0.0,0,-71307.89548486615
50Hertz -- TenneT,0,244.35726018461264,0.0,0,4629.374370249763,0.0,0,4385.0171100651505
Amprion -- TransnetBW,0,67235.74900854386,0.0,0,6.072910928711906,0.0,0,-67229.67609761516
TenneT -- TransnetBW,0,-2212.7810482109853,0.0,0,916.1094534494713,0.0,0,3128.8905016604567
