comparison,zone,hours_compared,mean_share_mass_shifted_per_hour,max_share_mass_shifted_in_an_hour,min_share_mass_shifted_in_an_hour
softmap_vs_reference_egon,50Hertz,48,0.14669942766465668,0.14669942766465688,0.14669942766465652
softmap_vs_reference_egon,Amprion,48,0.200855736720481,0.20085573672048118,0.2008557367204808
softmap_vs_reference_egon,TenneT,48,0.16653312877386547,0.16653312877386567,0.16653312877386528
softmap_vs_reference_egon,TransnetBW,48,0.17593771201052144,0.17593771201052166,0.17593771201052122
dynamic_vs_reference_egon,50Hertz,48,0.15606924623218899,0.16246170630172077,0.15010376500044456
dynamic_vs_reference_egon,Amprion,48,0.2044526643372696,0.210510033660247,0.19925536240530478
dynamic_vs_reference_egon,TenneT,48,0.17040755018000067,0.17415463562631595,0.16713037635986788
dynamic_vs_reference_egon,TransnetBW,48,0.18318768987373515,0.1889882261011077,0.17752991644300095
dynamic_vs_softmap,50Hertz,48,0.021256086259709817,0.02907293311780917,0.01504630655119427
dynamic_vs_softmap,Amprion,48,0.026357300461859332,0.038925454582085184,0.010966220040561272
dynamic_vs_softmap,TenneT,48,0.021601192163236384,0.029433395520535525,0.010863989353869681
dynamic_vs_softmap,TransnetBW,48,0.02630262805444797,0.034865233116278156,0.017125345325314623
