CaseLabel,Season,Line,From_bus,To_bus,From_zone,To_zone,HoursBinding,MaxAbsShadow,MidLongitude,MidLatitude,RegionLabel
jan_week3,winter,9,B633,B365,TransnetBW,TransnetBW,167,24.00000000000027,9.191379585,49.04015336,southwest
jan_week3,winter,733,B449,B397,TenneT,TenneT,134,9.237055564881302e-14,8.135229559999999,53.562012984999996,northwest_coastal
jan_week3,winter,4,B381,B363,TransnetBW,TransnetBW,101,56.871878443616055,8.292632185,49.018720744999996,southwest
jan_week3,winter,71,B266,B247,Amprion,Amprion,49,18.0,6.55390655,51.38025968,west_central
jan_week3,winter,828,B246,B364,TransnetBW,TransnetBW,18,7.306546201888935,8.559768035000001,49.834496705,west_central
jan_week3,winter,679,B40,B475,TenneT,TenneT,15,50.19751166189022,8.58262822,53.059277025,northwest_coastal
jan_week3,winter,163,B493,B59,Amprion,Amprion,9,0.061208281749401294,6.68730328,51.00001087,west_central
jan_week3,winter,929,B784,B194,Amprion,Amprion,9,0.02767789157717715,6.617148045,51.045356365,west_central
jan_week3,winter,961,B557,B230,Amprion,Amprion,8,1.3500311979441904e-13,7.013443325000001,51.852017015,west_central
jan_week3,winter,31,B55,B229,Amprion,Amprion,8,0.0,7.385438775000001,51.636565065,west_central
apr_week3,spring,4,B381,B363,TransnetBW,TransnetBW,101,103.19395689106344,8.292632185,49.018720744999996,southwest
apr_week3,spring,627,B738,B374,Amprion,Amprion,73,18.039336285198893,6.343000180000001,49.94059878,west_central
apr_week3,spring,9,B633,B365,TransnetBW,TransnetBW,70,12.158544712951283,9.191379585,49.04015336,southwest
apr_week3,spring,961,B557,B230,Amprion,Amprion,41,19.662721134249985,7.013443325000001,51.852017015,west_central
apr_week3,spring,772,B657,B256,50Hertz,50Hertz,38,13.409836563403388,13.809316665,54.44866868,north_or_northeast
apr_week3,spring,679,B40,B475,TenneT,TenneT,31,23.802377479665836,8.58262822,53.059277025,northwest_coastal
apr_week3,spring,753,B54,B270,TransnetBW,TransnetBW,20,26.203291009227193,10.0597995,48.291911999999996,southwest
apr_week3,spring,828,B246,B364,TransnetBW,TransnetBW,16,8.646688105354418,8.559768035000001,49.834496705,west_central
apr_week3,spring,940,B217,B216,Amprion,Amprion,11,14.128881400645987,7.62221394,51.893783514999996,west_central
apr_week3,spring,467,B312,B314,TenneT,TenneT,7,15.998069315492657,7.648601620000001,53.34513144,northwest_coastal
jul_week3,summer,4,B381,B363,TransnetBW,TransnetBW,105,99.63520979716388,8.292632185,49.018720744999996,southwest
jul_week3,summer,9,B633,B365,TransnetBW,TransnetBW,73,12.833371822517876,9.191379585,49.04015336,southwest
jul_week3,summer,627,B738,B374,Amprion,Amprion,58,19.430402808537824,6.343000180000001,49.94059878,west_central
jul_week3,summer,828,B246,B364,TransnetBW,TransnetBW,38,11.375481486158087,8.559768035000001,49.834496705,west_central
jul_week3,summer,772,B657,B256,50Hertz,50Hertz,15,8.000000000000062,13.809316665,54.44866868,north_or_northeast
jul_week3,summer,753,B54,B270,TransnetBW,TransnetBW,11,26.867277558776667,10.0597995,48.291911999999996,southwest
jul_week3,summer,163,B493,B59,Amprion,Amprion,10,0.012780679853840127,6.68730328,51.00001087,west_central
jul_week3,summer,679,B40,B475,TenneT,TenneT,5,8.195732853729991,8.58262822,53.059277025,northwest_coastal
jul_week3,summer,961,B557,B230,Amprion,Amprion,4,9.011859036692082,7.013443325000001,51.852017015,west_central
jul_week3,summer,929,B784,B194,Amprion,Amprion,4,0.0045172914428732724,6.617148045,51.045356365,west_central
oct_week3,autumn,4,B381,B363,TransnetBW,TransnetBW,122,115.30750450045458,8.292632185,49.018720744999996,southwest
oct_week3,autumn,9,B633,B365,TransnetBW,TransnetBW,91,23.999999999999304,9.191379585,49.04015336,southwest
oct_week3,autumn,961,B557,B230,Amprion,Amprion,63,32.841298540827296,7.013443325000001,51.852017015,west_central
oct_week3,autumn,772,B657,B256,50Hertz,50Hertz,58,29.89106564344965,13.809316665,54.44866868,north_or_northeast
oct_week3,autumn,627,B738,B374,Amprion,Amprion,43,35.492218604321735,6.343000180000001,49.94059878,west_central
oct_week3,autumn,828,B246,B364,TransnetBW,TransnetBW,37,11.608648690482756,8.559768035000001,49.834496705,west_central
oct_week3,autumn,669,B35,B36,Amprion,Amprion,36,8.101844022192767,8.72064153,51.718469185000004,central
oct_week3,autumn,679,B40,B475,TenneT,TenneT,30,16.66854882976745,8.58262822,53.059277025,northwest_coastal
oct_week3,autumn,444,B555,B578,TenneT,TenneT,28,7.742563746643315,9.155764985000001,53.934308970000004,northwest_coastal
oct_week3,autumn,445,B555,B578,TenneT,TenneT,28,6.28851635777878,9.155764985000001,53.934308970000004,northwest_coastal
