Line,From_bus,To_bus,From_zone,To_zone,SeasonsPresent,SeasonList,TotalHoursBinding,MaxHoursBinding,MaxAbsShadow
4,B381,B363,TransnetBW,TransnetBW,4,"autumn,spring,summer,winter",429,122,115.30750450045458
9,B633,B365,TransnetBW,TransnetBW,4,"autumn,spring,summer,winter",401,167,24.00000000000027
961,B557,B230,Amprion,Amprion,4,"autumn,spring,summer,winter",116,63,32.841298540827296
828,B246,B364,TransnetBW,TransnetBW,4,"autumn,spring,summer,winter",109,38,11.608648690482756
679,B40,B475,TenneT,TenneT,4,"autumn,spring,summer,winter",81,31,50.19751166189022
627,B738,B374,Amprion,Amprion,3,"autumn,spring,summer",174,73,35.492218604321735
772,B657,B256,50Hertz,50Hertz,3,"autumn,spring,summer",111,58,29.89106564344965
753,B54,B270,TransnetBW,TransnetBW,2,"spring,summer",31,20,26.867277558776667
163,B493,B59,Amprion,Amprion,2,"summer,winter",19,10,0.061208281749401294
929,B784,B194,Amprion,Amprion,2,"summer,winter",13,9,0.02767789157717715
733,B449,B397,TenneT,TenneT,1,winter,134,134,9.237055564881302e-14
71,B266,B247,Amprion,Amprion,1,winter,49,49,18.0
669,B35,B36,Amprion,Amprion,1,autumn,36,36,8.101844022192767
444,B555,B578,TenneT,TenneT,1,autumn,28,28,7.742563746643315
445,B555,B578,TenneT,TenneT,1,autumn,28,28,6.28851635777878
940,B217,B216,Amprion,Amprion,1,spring,11,11,14.128881400645987
31,B55,B229,Amprion,Amprion,1,winter,8,8,0.0
467,B312,B314,TenneT,TenneT,1,spring,7,7,15.998069315492657
